file,text,length,category
N_40.png,N,1,Alpha
Q_42.png,Q,1,Alpha
V_42.png,V,1,Alpha
R_29.png,R,1,Alpha
J_39.png,J,1,Alpha
M_36.png,M,1,Alpha
O_26.png,O,1,Alpha
J_40.png,J,1,Alpha
H_33.png,H,1,Alpha
M_38.png,M,1,Alpha
C_49.png,C,1,Alpha
D_41.png,D,1,Alpha
O_27.png,O,1,Alpha
K_48.png,K,1,Alpha
T_34.png,T,1,Alpha
I_39.png,I,1,Alpha
V_43.png,V,1,Alpha
K_49.png,K,1,Alpha
B_28.png,B,1,Alpha
Q_43.png,Q,1,Alpha
O_28.png,O,1,Alpha
T_32.png,T,1,Alpha
C_44.png,C,1,Alpha
P_46.png,P,1,Alpha
C_45.png,C,1,Alpha
C_43.png,C,1,Alpha
P_45.png,P,1,Alpha
C_46.png,C,1,Alpha
O_25.png,O,1,Alpha
V_41.png,V,1,Alpha
A_55.png,A,1,Alpha
A_56.png,A,1,Alpha
O_24.png,O,1,Alpha
L_45.png,L,1,Alpha
J_38.png,J,1,Alpha
O_23.png,O,1,Alpha
Y_40.png,Y,1,Alpha
J_37.png,J,1,Alpha
G_37.png,G,1,Alpha
E_36.png,E,1,Alpha
Z_43.png,Z,1,Alpha
V_39.png,V,1,Alpha
T_31.png,T,1,Alpha
V_40.png,V,1,Alpha
P_43.png,P,1,Alpha
C_41.png,C,1,Alpha
I_37.png,I,1,Alpha
A_53.png,A,1,Alpha
W_37.png,W,1,Alpha
U_41.png,U,1,Alpha
Q_41.png,Q,1,Alpha
C_42.png,C,1,Alpha
H_31.png,H,1,Alpha
M_35.png,M,1,Alpha
P_44.png,P,1,Alpha
N_38.png,N,1,Alpha
U_42.png,U,1,Alpha
S_42.png,S,1,Alpha
D_39.png,D,1,Alpha
F_36.png,F,1,Alpha
Z_44.png,Z,1,Alpha
A_54.png,A,1,Alpha
E_38.png,E,1,Alpha
G_36.png,G,1,Alpha
C_40.png,C,1,Alpha
L_43.png,L,1,Alpha
G_35.png,G,1,Alpha
L_42.png,L,1,Alpha
A_52.png,A,1,Alpha
L_44.png,L,1,Alpha
C_39.png,C,1,Alpha
J_36.png,J,1,Alpha
E_35.png,E,1,Alpha
U_40.png,U,1,Alpha
E_37.png,E,1,Alpha
M_34.png,M,1,Alpha
Q_39.png,Q,1,Alpha
W_36.png,W,1,Alpha
A_51.png,A,1,Alpha
H_30.png,H,1,Alpha
C_38.png,C,1,Alpha
D_38.png,D,1,Alpha
O_22.png,O,1,Alpha
L_41.png,L,1,Alpha
M_33.png,M,1,Alpha
X_52.png,X,1,Alpha
L_39.png,L,1,Alpha
A_50.png,A,1,Alpha
N_37.png,N,1,Alpha
C_50.png,C,1,Alpha
X_51.png,X,1,Alpha
B_27.png,B,1,Alpha
E_34.png,E,1,Alpha
C_36.png,C,1,Alpha
S_40.png,S,1,Alpha
X_50.png,X,1,Alpha
A_49.png,A,1,Alpha
Q_38.png,Q,1,Alpha
E_33.png,E,1,Alpha
S_41.png,S,1,Alpha
T_30.png,T,1,Alpha
E_32.png,E,1,Alpha
N_36.png,N,1,Alpha
U_39.png,U,1,Alpha
C_37.png,C,1,Alpha
D_37.png,D,1,Alpha
C_48.png,C,1,Alpha
W_35.png,W,1,Alpha
Y_39.png,Y,1,Alpha
Q_36.png,Q,1,Alpha
Z_41.png,Z,1,Alpha
S_39.png,S,1,Alpha
U_38.png,U,1,Alpha
A_47.png,A,1,Alpha
N_35.png,N,1,Alpha
X_49.png,X,1,Alpha
Z_42.png,Z,1,Alpha
N_34.png,N,1,Alpha
N_33.png,N,1,Alpha
Q_37.png,Q,1,Alpha
E_31.png,E,1,Alpha
A_48.png,A,1,Alpha
S_38.png,S,1,Alpha
B_26.png,B,1,Alpha
Q_35.png,Q,1,Alpha
X_48.png,X,1,Alpha
F_34.png,F,1,Alpha
G_33.png,G,1,Alpha
X_47.png,X,1,Alpha
J_34.png,J,1,Alpha
M_32.png,M,1,Alpha
Z_40.png,Z,1,Alpha
T_29.png,T,1,Alpha
I_38.png,I,1,Alpha
F_35.png,F,1,Alpha
L_40.png,L,1,Alpha
L_38.png,L,1,Alpha
S_43.png,S,1,Alpha
Q_34.png,Q,1,Alpha
P_42.png,P,1,Alpha
Q_40.png,Q,1,Alpha
G_34.png,G,1,Alpha
S_35.png,S,1,Alpha
V_37.png,V,1,Alpha
U_37.png,U,1,Alpha
C_33.png,C,1,Alpha
E_30.png,E,1,Alpha
C_34.png,C,1,Alpha
L_35.png,L,1,Alpha
A_45.png,A,1,Alpha
N_31.png,N,1,Alpha
L_34.png,L,1,Alpha
X_45.png,X,1,Alpha
G_32.png,G,1,Alpha
J_35.png,J,1,Alpha
L_36.png,L,1,Alpha
D_32.png,D,1,Alpha
D_31.png,D,1,Alpha
Q_32.png,Q,1,Alpha
E_29.png,E,1,Alpha
X_43.png,X,1,Alpha
L_33.png,L,1,Alpha
H_27.png,H,1,Alpha
Z_36.png,Z,1,Alpha
J_33.png,J,1,Alpha
H_28.png,H,1,Alpha
U_36.png,U,1,Alpha
K_45.png,K,1,Alpha
B_25.png,B,1,Alpha
N_29.png,N,1,Alpha
M_31.png,M,1,Alpha
Q_33.png,Q,1,Alpha
D_36.png,D,1,Alpha
R_28.png,R,1,Alpha
S_36.png,S,1,Alpha
K_47.png,K,1,Alpha
N_32.png,N,1,Alpha
T_28.png,T,1,Alpha
V_38.png,V,1,Alpha
Z_38.png,Z,1,Alpha
C_35.png,C,1,Alpha
A_46.png,A,1,Alpha
X_46.png,X,1,Alpha
S_37.png,S,1,Alpha
X_44.png,X,1,Alpha
D_35.png,D,1,Alpha
K_46.png,K,1,Alpha
I_36.png,I,1,Alpha
D_34.png,D,1,Alpha
R_27.png,R,1,Alpha
T_27.png,T,1,Alpha
N_30.png,N,1,Alpha
Z_37.png,Z,1,Alpha
R_26.png,R,1,Alpha
T_26.png,T,1,Alpha
P_39.png,P,1,Alpha
P_40.png,P,1,Alpha
Z_35.png,Z,1,Alpha
A_44.png,A,1,Alpha
C_30.png,C,1,Alpha
C_32.png,C,1,Alpha
X_42.png,X,1,Alpha
C_29.png,C,1,Alpha
Z_34.png,Z,1,Alpha
T_24.png,T,1,Alpha
D_30.png,D,1,Alpha
K_44.png,K,1,Alpha
T_25.png,T,1,Alpha
V_36.png,V,1,Alpha
E_28.png,E,1,Alpha
P_38.png,P,1,Alpha
P_41.png,P,1,Alpha
Z_33.png,Z,1,Alpha
L_32.png,L,1,Alpha
W_34.png,W,1,Alpha
P_37.png,P,1,Alpha
G_31.png,G,1,Alpha
R_25.png,R,1,Alpha
E_25.png,E,1,Alpha
A_43.png,A,1,Alpha
U_35.png,U,1,Alpha
K_43.png,K,1,Alpha
L_31.png,L,1,Alpha
E_26.png,E,1,Alpha
W_33.png,W,1,Alpha
V_35.png,V,1,Alpha
H_29.png,H,1,Alpha
N_27.png,N,1,Alpha
Y_37.png,Y,1,Alpha
L_27.png,L,1,Alpha
V_33.png,V,1,Alpha
W_32.png,W,1,Alpha
U_32.png,U,1,Alpha
U_33.png,U,1,Alpha
K_41.png,K,1,Alpha
S_33.png,S,1,Alpha
C_24.png,C,1,Alpha
C_25.png,C,1,Alpha
D_28.png,D,1,Alpha
D_29.png,D,1,Alpha
A_42.png,A,1,Alpha
Q_30.png,Q,1,Alpha
I_34.png,I,1,Alpha
E_24.png,E,1,Alpha
X_38.png,X,1,Alpha
B_23.png,B,1,Alpha
T_23.png,T,1,Alpha
B_24.png,B,1,Alpha
M_29.png,M,1,Alpha
I_33.png,I,1,Alpha
S_34.png,S,1,Alpha
M_30.png,M,1,Alpha
J_30.png,J,1,Alpha
L_28.png,L,1,Alpha
L_37.png,L,1,Alpha
C_26.png,C,1,Alpha
Z_39.png,Z,1,Alpha
T_21.png,T,1,Alpha
I_32.png,I,1,Alpha
S_32.png,S,1,Alpha
Q_29.png,Q,1,Alpha
W_31.png,W,1,Alpha
T_22.png,T,1,Alpha
F_33.png,F,1,Alpha
S_31.png,S,1,Alpha
Q_31.png,Q,1,Alpha
V_30.png,V,1,Alpha
S_30.png,S,1,Alpha
M_28.png,M,1,Alpha
V_31.png,V,1,Alpha
X_37.png,X,1,Alpha
X_40.png,X,1,Alpha
M_27.png,M,1,Alpha
U_34.png,U,1,Alpha
X_39.png,X,1,Alpha
J_32.png,J,1,Alpha
C_28.png,C,1,Alpha
Z_32.png,Z,1,Alpha
N_28.png,N,1,Alpha
X_41.png,X,1,Alpha
C_27.png,C,1,Alpha
K_42.png,K,1,Alpha
G_30.png,G,1,Alpha
L_29.png,L,1,Alpha
I_35.png,I,1,Alpha
B_22.png,B,1,Alpha
Y_35.png,Y,1,Alpha
X_35.png,X,1,Alpha
S_28.png,S,1,Alpha
Z_31.png,Z,1,Alpha
Y_34.png,Y,1,Alpha
X_36.png,X,1,Alpha
J_29.png,J,1,Alpha
Q_28.png,Q,1,Alpha
G_29.png,G,1,Alpha
I_31.png,I,1,Alpha
Z_30.png,Z,1,Alpha
P_36.png,P,1,Alpha
T_20.png,T,1,Alpha
D_33.png,D,1,Alpha
Y_38.png,Y,1,Alpha
C_31.png,C,1,Alpha
L_26.png,L,1,Alpha
D_27.png,D,1,Alpha
Y_33.png,Y,1,Alpha
X_34.png,X,1,Alpha
N_26.png,N,1,Alpha
U_30.png,U,1,Alpha
U_31.png,U,1,Alpha
R_24.png,R,1,Alpha
B_21.png,B,1,Alpha
A_41.png,A,1,Alpha
F_31.png,F,1,Alpha
M_26.png,M,1,Alpha
A_40.png,A,1,Alpha
E_27.png,E,1,Alpha
S_29.png,S,1,Alpha
L_30.png,L,1,Alpha
V_34.png,V,1,Alpha
V_32.png,V,1,Alpha
J_31.png,J,1,Alpha
S_27.png,S,1,Alpha
F_32.png,F,1,Alpha
R_23.png,R,1,Alpha
M_24.png,M,1,Alpha
M_25.png,M,1,Alpha
H_25.png,H,1,Alpha
L_25.png,L,1,Alpha
Y_32.png,Y,1,Alpha
W_30.png,W,1,Alpha
Z_29.png,Z,1,Alpha
J_28.png,J,1,Alpha
U_29.png,U,1,Alpha
V_29.png,V,1,Alpha
V_28.png,V,1,Alpha
A_38.png,A,1,Alpha
Z_27.png,Z,1,Alpha
G_27.png,G,1,Alpha
X_32.png,X,1,Alpha
M_23.png,M,1,Alpha
C_23.png,C,1,Alpha
P_33.png,P,1,Alpha
J_26.png,J,1,Alpha
V_27.png,V,1,Alpha
P_34.png,P,1,Alpha
F_30.png,F,1,Alpha
Z_26.png,Z,1,Alpha
U_27.png,U,1,Alpha
A_37.png,A,1,Alpha
W_28.png,W,1,Alpha
A_36.png,A,1,Alpha
G_26.png,G,1,Alpha
G_25.png,G,1,Alpha
U_26.png,U,1,Alpha
P_32.png,P,1,Alpha
D_25.png,D,1,Alpha
Q_27.png,Q,1,Alpha
Q_26.png,Q,1,Alpha
U_25.png,U,1,Alpha
F_29.png,F,1,Alpha
O_21.png,O,1,Alpha
M_22.png,M,1,Alpha
J_25.png,J,1,Alpha
C_21.png,C,1,Alpha
Z_28.png,Z,1,Alpha
